Order ID,Order Date,Customer Name,City,State,Country,Region,Category,Sub Category,Product Name,Quantity,Unit Price,Discount (%),Sales,Revenue,Profit,Payment Method,Salesperson
100001,2025-04-15,Customer 693,City 24,Illinois,USA,North,Electronics,Phone,Phone,1,1113.62,5,1057.94,1057.94,148.39,PayPal,Salesperson 14
100002,2025-01-28,Customer 575,City 7,Washington,USA,West,Electronics,Laptop,Laptop,1,145.07,5,137.82,137.82,29.83,Debit Card,Salesperson 15
100003,2025-06-13,Customer 715,City 14,Florida,USA,East,Fashion,Watch,Watch,5,1215.1,0,6075.5,6075.5,1730.78,Debit Card,Salesperson 7
100004,2025-12-19,Customer 619,City 9,California,USA,West,Stationery,Notebook,Notebook,2,143.66,0,287.32,287.32,50.83,PayPal,Salesperson 4
100005,2026-01-06,Customer 592,City 7,Washington,USA,North,Stationery,Pen,Pen,2,830.3,20,1328.48,1328.48,423.88,Credit Card,Salesperson 8
100006,2026-04-10,Customer 651,City 27,Florida,USA,South,Furniture,Desk,Desk,2,1283.7,0,2567.4,2567.4,468.89,UPI,Salesperson 12
100007,2025-06-25,Customer 547,City 24,Texas,USA,South,Furniture,Chair,Chair,5,1054.22,0,5271.1,5271.1,1288.6,Cash,Salesperson 13
100008,2025-02-27,Customer 235,City 27,California,USA,East,Furniture,Desk,Desk,9,333.32,10,2699.89,2699.89,830.41,Cash,Salesperson 9
100009,2025-11-19,Customer 218,City 21,New York,USA,West,Electronics,Phone,Phone,4,1370.14,20,4384.45,4384.45,1388.2,Cash,Salesperson 5
100010,2026-03-15,Customer 598,City 13,Florida,USA,South,Furniture,Desk,Desk,3,373.71,20,896.9,896.9,202.27,Debit Card,Salesperson 17
100011,2025-06-13,Customer 697,City 14,Illinois,USA,North,Accessories,Backpack,Backpack,2,1134.89,0,2269.78,2269.78,275.25,Cash,Salesperson 13
100012,2025-01-12,Customer 697,City 24,California,USA,East,Fashion,Watch,Watch,8,796.03,20,5094.59,5094.59,1591.6,UPI,Salesperson 4
100013,2025-09-27,Customer 513,City 25,Texas,USA,North,Furniture,Desk,Desk,7,241.45,0,1690.15,1690.15,570.48,UPI,Salesperson 17
100014,2025-01-01,Customer 614,City 11,New York,USA,North,Fashion,Watch,Watch,4,233.49,5,887.26,887.26,200.19,Credit Card,Salesperson 12
100015,2025-03-29,Customer 750,City 16,California,USA,South,Furniture,Desk,Desk,4,91.6,20,293.12,293.12,98.39,Debit Card,Salesperson 16
100016,2025-08-05,Customer 553,City 25,Washington,USA,South,Fashion,Shoes,Shoes,3,401.26,20,963.02,963.02,187.06,UPI,Salesperson 13
100017,2025-08-19,Customer 66,City 11,California,USA,South,Stationery,Notebook,Notebook,8,1349.92,15,9179.46,9179.46,1034.26,PayPal,Salesperson 8
100018,2025-02-02,Customer 339,City 3,Illinois,USA,South,Electronics,Laptop,Laptop,2,1063.22,0,2126.44,2126.44,301.56,UPI,Salesperson 16
100019,2025-09-06,Customer 485,City 26,New York,USA,South,Furniture,Chair,Chair,9,202.81,20,1460.23,1460.23,344.0,Credit Card,Salesperson 4
100020,2025-02-25,Customer 690,City 21,Washington,USA,North,Stationery,Pen,Pen,6,638.25,15,3255.07,3255.07,1019.6,Credit Card,Salesperson 13
